Title,Date,RoomType,Season,OccupancyRate,BasePrice,Competitor,ID,haveConnectingRooms,availableViews
,"March 5, 2020",Deluxe,Off-Season,86,150,Fandak Al Fakhama,65,TRUE,mountain
,"March 6, 2020",Suite,Off-Season,86,250,Nazl Al Iqtisad,66,FALSE,mountain
,"March 7, 2020",Standard,Off-Season,88,100,Nazl Al Jabal,67,FALSE,sea
,"March 8, 2020",Deluxe,Off-Season,88,150,Nazl Al Jabal,68,TRUE,garden
,"March 9, 2020",Suite,Off-Season,88,250,Fandak Al Fakhama,69,FALSE,garden
,"March 10, 2020",Standard,Off-Season,2,100,Nazl Al Iqtisad,70,FALSE,sea
,"March 11, 2020",Deluxe,Off-Season,2,150,Muntaaz Al Bahar,71,FALSE,garden
,"March 12, 2020",Suite,Off-Season,2,250,Muntaaz Al Bahar,72,FALSE,sea
,"March 13, 2020",Standard,Off-Season,27,100,Nazl Al Iqtisad,73,TRUE,garden
,"March 14, 2020",Deluxe,Off-Season,27,150,Fandak Al Madina,74,FALSE,city
,"March 15, 2020",Suite,Off-Season,27,250,Fandak Al Fakhama,75,TRUE,city
,"March 16, 2020",Standard,Off-Season,5,100,Nazl Al Iqtisad,76,FALSE,mountain
,"March 17, 2020",Deluxe,Off-Season,5,150,Muntaaz Al Bahar,77,FALSE,city
,"March 18, 2020",Suite,Off-Season,5,250,Nazl Al Jabal,78,FALSE,city
,"March 19, 2020",Standard,Off-Season,95,100,Muntaaz Al Bahar,79,TRUE,city
,"March 20, 2020",Deluxe,Off-Season,95,150,Nazl Al Jabal,80,FALSE,sea
,"March 21, 2020",Suite,Off-Season,95,250,Fandak Al Fakhama,81,TRUE,city
,"March 22, 2020",Standard,Off-Season,74,100,Nazl Al Jabal,82,FALSE,city
,"March 23, 2020",Deluxe,Off-Season,74,150,Nazl Al Iqtisad,83,TRUE,mountain
,"March 24, 2020",Suite,Off-Season,74,250,Nazl Al Jabal,84,FALSE,city
,"March 25, 2020",Standard,Off-Season,90,100,Fandak Al Madina,85,TRUE,city
,"March 26, 2020",Deluxe,Off-Season,90,150,Nazl Al Iqtisad,86,TRUE,garden
,"March 27, 2020",Suite,Off-Season,90,250,Fandak Al Fakhama,87,FALSE,mountain
,"March 28, 2020",Standard,Off-Season,17,100,Nazl Al Iqtisad,88,TRUE,mountain
,"March 29, 2020",Deluxe,Off-Season,17,150,Fandak Al Madina,89,FALSE,mountain
,"March 30, 2020",Suite,Off-Season,17,250,Fandak Al Fakhama,90,FALSE,mountain
,"March 31, 2020",Standard,Off-Season,75,100,Muntaaz Al Bahar,91,FALSE,mountain
,"April 1, 2020",Deluxe,Off-Season,75,150,Fandak Al Madina,92,FALSE,mountain
,"April 2, 2020",Suite,Off-Season,75,250,Fandak Al Fakhama,93,FALSE,sea
,"April 3, 2020",Standard,Off-Season,53,100,Nazl Al Jabal,94,FALSE,city
,"April 4, 2020",Deluxe,Off-Season,53,150,Nazl Al Iqtisad,95,FALSE,mountain
,"April 5, 2020",Suite,Off-Season,53,250,Fandak Al Fakhama,96,FALSE,city
,"April 6, 2020",Standard,Off-Season,38,100,Nazl Al Iqtisad,97,FALSE,city
,"April 7, 2020",Deluxe,Off-Season,38,150,Nazl Al Jabal,98,FALSE,sea
,"April 8, 2020",Suite,Off-Season,38,250,Fandak Al Fakhama,99,FALSE,mountain
,"April 9, 2020",Standard,Off-Season,46,100,Muntaaz Al Bahar,100,TRUE,garden
,"April 10, 2020",Deluxe,Off-Season,46,150,Fandak Al Madina,101,TRUE,sea
,"April 11, 2020",Suite,Off-Season,46,250,Fandak Al Fakhama,102,FALSE,garden
,"April 12, 2020",Standard,Off-Season,23,100,Nazl Al Jabal,103,FALSE,city
,"April 13, 2020",Deluxe,Off-Season,23,150,Fandak Al Fakhama,104,FALSE,city
,"April 14, 2020",Suite,Off-Season,23,250,Nazl Al Iqtisad,105,FALSE,sea
,"April 15, 2020",Standard,Off-Season,70,100,Fandak Al Fakhama,106,FALSE,sea
,"April 16, 2020",Deluxe,Off-Season,70,150,Muntaaz Al Bahar,107,FALSE,garden
,"April 17, 2020",Suite,Off-Season,70,250,Fandak Al Fakhama,108,FALSE,mountain
,"April 18, 2020",Standard,Off-Season,24,100,Fandak Al Madina,109,FALSE,garden
,"April 19, 2020",Deluxe,Off-Season,24,150,Fandak Al Fakhama,110,TRUE,sea
,"April 20, 2020",Suite,Off-Season,24,250,Nazl Al Iqtisad,111,FALSE,garden
,"April 21, 2020",Standard,Off-Season,16,100,Fandak Al Fakhama,112,TRUE,sea
,"April 22, 2020",Deluxe,Off-Season,16,150,Muntaaz Al Bahar,113,FALSE,garden
,"April 23, 2020",Suite,Off-Season,16,250,Nazl Al Jabal,114,FALSE,sea
,"April 24, 2020",Standard,Off-Season,74,100,Fandak Al Fakhama,115,TRUE,sea
,"April 25, 2020",Deluxe,Off-Season,74,150,Fandak Al Fakhama,116,FALSE,sea
,"April 26, 2020",Suite,Off-Season,74,250,Fandak Al Madina,117,TRUE,mountain
,"April 27, 2020",Standard,Off-Season,61,100,Muntaaz Al Bahar,118,FALSE,garden
,"April 28, 2020",Deluxe,Off-Season,61,150,Nazl Al Jabal,119,FALSE,garden
,"April 29, 2020",Suite,Off-Season,61,250,Nazl Al Iqtisad,120,TRUE,garden
,"April 30, 2020",Standard,Off-Season,13,100,Fandak Al Fakhama,121,FALSE,sea
,"May 1, 2020",Deluxe,Off-Season,13,150,Nazl Al Jabal,122,TRUE,garden
,"May 2, 2020",Suite,Off-Season,13,250,Nazl Al Iqtisad,123,FALSE,garden
,"May 3, 2020",Standard,Off-Season,43,100,Muntaaz Al Bahar,124,TRUE,sea
,"May 4, 2020",Deluxe,Off-Season,43,150,Muntaaz Al Bahar,125,TRUE,city
,"May 5, 2020",Suite,Off-Season,43,250,Nazl Al Jabal,126,FALSE,sea
,"May 6, 2020",Standard,Off-Season,63,100,Nazl Al Iqtisad,127,FALSE,garden
,"May 7, 2020",Deluxe,Off-Season,63,150,Muntaaz Al Bahar,128,TRUE,sea
,"May 8, 2020",Suite,Off-Season,63,250,Nazl Al Jabal,129,FALSE,city
,"May 9, 2020",Standard,Off-Season,93,100,Muntaaz Al Bahar,130,FALSE,sea
,"May 10, 2020",Deluxe,Off-Season,93,150,Muntaaz Al Bahar,131,FALSE,garden
,"May 11, 2020",Suite,Off-Season,93,250,Muntaaz Al Bahar,132,TRUE,city
,"May 12, 2020",Standard,Off-Season,81,100,Fandak Al Madina,133,TRUE,mountain
,"May 13, 2020",Deluxe,Off-Season,81,150,Nazl Al Iqtisad,134,TRUE,garden
,"May 14, 2020",Suite,Off-Season,81,250,Nazl Al Jabal,135,TRUE,city
,"May 15, 2020",Standard,Off-Season,50,100,Nazl Al Jabal,136,TRUE,city
,"May 16, 2020",Deluxe,Off-Season,50,150,Nazl Al Iqtisad,137,TRUE,mountain
,"May 17, 2020",Suite,Off-Season,50,250,Nazl Al Iqtisad,138,TRUE,sea
,"May 18, 2020",Standard,Off-Season,86,100,Nazl Al Iqtisad,139,TRUE,sea
,"May 19, 2020",Deluxe,Off-Season,86,150,Nazl Al Iqtisad,140,TRUE,garden
,"May 20, 2020",Suite,Off-Season,86,250,Fandak Al Fakhama,141,FALSE,mountain
,"May 21, 2020",Standard,Off-Season,61,100,Nazl Al Jabal,142,TRUE,sea
,"May 22, 2020",Deluxe,Off-Season,61,150,Fandak Al Fakhama,143,FALSE,mountain
,"May 23, 2020",Suite,Off-Season,61,250,Muntaaz Al Bahar,144,FALSE,sea
,"May 24, 2020",Standard,Off-Season,70,100,Muntaaz Al Bahar,145,FALSE,city
,"May 25, 2020",Deluxe,Off-Season,70,150,Nazl Al Jabal,146,TRUE,sea
,"May 26, 2020",Suite,Off-Season,70,250,Muntaaz Al Bahar,147,TRUE,mountain
,"May 27, 2020",Standard,Off-Season,95,100,Nazl Al Iqtisad,148,TRUE,city
,"May 28, 2020",Deluxe,Off-Season,95,150,Fandak Al Fakhama,149,TRUE,city
,"May 29, 2020",Suite,Off-Season,95,250,Nazl Al Iqtisad,150,FALSE,city
,"May 30, 2020",Standard,Off-Season,1,100,Muntaaz Al Bahar,151,TRUE,mountain
,"May 31, 2020",Deluxe,Off-Season,1,150,Fandak Al Fakhama,152,TRUE,garden
,"June 1, 2020",Suite,Off-Season,1,250,Nazl Al Iqtisad,153,TRUE,garden
,"June 2, 2020",Standard,Off-Season,47,100,Nazl Al Jabal,154,TRUE,garden
,"June 3, 2020",Deluxe,Off-Season,47,150,Nazl Al Iqtisad,155,TRUE,mountain
,"June 4, 2020",Suite,Off-Season,47,250,Muntaaz Al Bahar,156,FALSE,city
,"June 5, 2020",Standard,Off-Season,90,100,Fandak Al Fakhama,157,TRUE,garden
,"June 6, 2020",Deluxe,Off-Season,90,150,Nazl Al Jabal,158,FALSE,mountain
,"June 7, 2020",Suite,Off-Season,90,250,Fandak Al Fakhama,159,TRUE,garden
,"June 8, 2020",Standard,Off-Season,100,100,Nazl Al Jabal,160,FALSE,sea
,"June 9, 2020",Deluxe,Off-Season,100,150,Fandak Al Fakhama,161,TRUE,garden
,"June 10, 2020",Suite,Off-Season,100,250,Muntaaz Al Bahar,162,TRUE,garden
,"June 11, 2020",Standard,Off-Season,93,100,Nazl Al Jabal,163,FALSE,city
,"June 12, 2020",Deluxe,Off-Season,93,150,Fandak Al Madina,164,FALSE,mountain
,"June 13, 2020",Suite,Off-Season,93,250,Fandak Al Fakhama,165,FALSE,city
,"June 14, 2020",Standard,Off-Season,47,100,Fandak Al Fakhama,166,TRUE,city
,"June 15, 2020",Deluxe,Off-Season,47,150,Nazl Al Iqtisad,167,FALSE,city
,"June 16, 2020",Suite,Off-Season,47,250,Nazl Al Jabal,168,TRUE,city
,"June 17, 2020",Standard,Off-Season,53,100,Fandak Al Madina,169,TRUE,city
,"June 18, 2020",Deluxe,Off-Season,53,150,Muntaaz Al Bahar,170,FALSE,garden
,"June 19, 2020",Suite,Off-Season,53,250,Nazl Al Iqtisad,171,FALSE,city
,"June 20, 2020",Standard,Off-Season,79,100,Fandak Al Madina,172,TRUE,city
,"June 21, 2020",Deluxe,Off-Season,79,150,Nazl Al Jabal,173,TRUE,mountain
,"June 22, 2020",Suite,Off-Season,79,250,Fandak Al Madina,174,FALSE,sea
,"June 23, 2020",Standard,Off-Season,51,100,Fandak Al Fakhama,175,FALSE,garden
,"June 24, 2020",Deluxe,Off-Season,51,150,Fandak Al Fakhama,176,FALSE,garden
,"June 25, 2020",Suite,Off-Season,51,250,Nazl Al Iqtisad,177,TRUE,garden
,"June 26, 2020",Standard,Off-Season,2,100,Nazl Al Jabal,178,TRUE,city
,"June 27, 2020",Deluxe,Off-Season,2,150,Nazl Al Jabal,179,TRUE,city
,"June 28, 2020",Suite,Off-Season,2,250,Fandak Al Madina,180,TRUE,city
,"June 29, 2020",Standard,Off-Season,52,100,Nazl Al Iqtisad,181,TRUE,mountain
,"June 30, 2020",Deluxe,Off-Season,52,150,Nazl Al Jabal,182,TRUE,sea
,"July 1, 2020",Suite,Off-Season,52,250,Fandak Al Fakhama,183,FALSE,city
,"July 2, 2020",Standard,Off-Season,49,100,Fandak Al Madina,184,TRUE,sea
,"July 3, 2020",Deluxe,Off-Season,49,150,Muntaaz Al Bahar,185,TRUE,mountain
,"July 4, 2020",Suite,Off-Season,49,250,Fandak Al Fakhama,186,TRUE,garden
,"July 5, 2020",Standard,Off-Season,64,100,Nazl Al Iqtisad,187,FALSE,city
,"July 6, 2020",Deluxe,Off-Season,64,150,Nazl Al Jabal,188,TRUE,sea
,"July 7, 2020",Suite,Off-Season,64,250,Fandak Al Fakhama,189,TRUE,sea
,"July 8, 2020",Standard,Off-Season,53,100,Muntaaz Al Bahar,190,FALSE,city
,"July 9, 2020",Deluxe,Off-Season,53,150,Muntaaz Al Bahar,191,TRUE,garden
,"July 10, 2020",Suite,Off-Season,53,250,Nazl Al Iqtisad,192,TRUE,garden
,"July 11, 2020",Standard,Off-Season,56,100,Fandak Al Fakhama,193,TRUE,garden
,"July 12, 2020",Deluxe,Off-Season,56,150,Fandak Al Madina,194,TRUE,mountain
,"July 13, 2020",Suite,Off-Season,56,250,Fandak Al Fakhama,195,TRUE,sea
,"July 14, 2020",Standard,Off-Season,89,100,Muntaaz Al Bahar,196,FALSE,sea
,"July 15, 2020",Deluxe,Off-Season,89,150,Nazl Al Iqtisad,197,FALSE,sea
,"July 16, 2020",Suite,Off-Season,89,250,Nazl Al Iqtisad,198,FALSE,mountain
,"July 17, 2020",Standard,Off-Season,89,100,Fandak Al Madina,199,TRUE,sea
,"July 18, 2020",Deluxe,Off-Season,89,150,Nazl Al Iqtisad,200,TRUE,mountain
,"July 19, 2020",Suite,Off-Season,89,250,Nazl Al Iqtisad,201,TRUE,garden
,"July 20, 2020",Standard,Off-Season,67,100,Nazl Al Iqtisad,202,FALSE,city
,"July 21, 2020",Deluxe,Off-Season,67,150,Nazl Al Iqtisad,203,TRUE,sea
,"July 22, 2020",Suite,Off-Season,67,250,Nazl Al Iqtisad,204,TRUE,sea
,"July 23, 2020",Standard,Off-Season,51,100,Muntaaz Al Bahar,205,FALSE,garden
,"July 24, 2020",Deluxe,Off-Season,51,150,Fandak Al Fakhama,206,TRUE,city
,"July 25, 2020",Suite,Off-Season,51,250,Nazl Al Jabal,207,FALSE,mountain
,"July 26, 2020",Standard,Off-Season,1,100,Nazl Al Iqtisad,208,FALSE,city
,"July 27, 2020",Deluxe,Off-Season,1,150,Nazl Al Jabal,209,FALSE,garden
,"July 28, 2020",Suite,Off-Season,1,250,Nazl Al Jabal,210,TRUE,garden
,"July 29, 2020",Standard,Off-Season,20,100,Muntaaz Al Bahar,211,TRUE,city
,"July 30, 2020",Deluxe,Off-Season,20,150,Nazl Al Iqtisad,212,TRUE,mountain
,"July 31, 2020",Suite,Off-Season,20,250,Nazl Al Jabal,213,TRUE,mountain
,"August 1, 2020",Standard,Off-Season,26,100,Nazl Al Iqtisad,214,TRUE,sea
,"August 2, 2020",Deluxe,Off-Season,26,150,Fandak Al Madina,215,TRUE,mountain
,"August 3, 2020",Suite,Off-Season,26,250,Fandak Al Madina,216,TRUE,city
,"August 4, 2020",Standard,Off-Season,89,100,Fandak Al Madina,217,FALSE,garden
,"August 5, 2020",Deluxe,Off-Season,89,150,Nazl Al Jabal,218,TRUE,sea
,"August 6, 2020",Suite,Off-Season,89,250,Fandak Al Madina,219,FALSE,sea
,"August 7, 2020",Standard,Off-Season,47,100,Muntaaz Al Bahar,220,TRUE,garden
,"August 8, 2020",Deluxe,Off-Season,47,150,Muntaaz Al Bahar,221,TRUE,mountain
,"August 9, 2020",Suite,Off-Season,47,250,Nazl Al Jabal,222,TRUE,garden
,"August 10, 2020",Standard,Off-Season,61,100,Nazl Al Iqtisad,223,FALSE,mountain
,"August 11, 2020",Deluxe,Off-Season,61,150,Fandak Al Fakhama,224,FALSE,garden
,"August 12, 2020",Suite,Off-Season,61,250,Nazl Al Iqtisad,225,FALSE,city
,"August 13, 2020",Standard,Off-Season,75,100,Nazl Al Iqtisad,226,FALSE,mountain
,"August 14, 2020",Deluxe,Off-Season,75,150,Nazl Al Iqtisad,227,TRUE,city
,"August 15, 2020",Suite,Off-Season,75,250,Nazl Al Iqtisad,228,FALSE,sea
,"August 16, 2020",Standard,Off-Season,98,100,Fandak Al Fakhama,229,TRUE,garden
,"August 17, 2020",Deluxe,Off-Season,98,150,Fandak Al Madina,230,TRUE,sea
,"August 18, 2020",Suite,Off-Season,98,250,Nazl Al Iqtisad,231,FALSE,sea
,"August 19, 2020",Standard,Off-Season,60,100,Muntaaz Al Bahar,232,FALSE,sea
,"August 20, 2020",Deluxe,Off-Season,60,150,Nazl Al Jabal,233,FALSE,sea
,"August 21, 2020",Suite,Off-Season,60,250,Nazl Al Jabal,234,FALSE,garden
,"August 22, 2020",Standard,Off-Season,37,100,Muntaaz Al Bahar,235,FALSE,sea
,"August 23, 2020",Deluxe,Off-Season,37,150,Nazl Al Iqtisad,236,FALSE,garden
,"August 24, 2020",Suite,Off-Season,37,250,Fandak Al Fakhama,237,FALSE,garden
,"August 25, 2020",Standard,Off-Season,61,100,Fandak Al Madina,238,FALSE,city
,"August 26, 2020",Deluxe,Off-Season,61,150,Nazl Al Jabal,239,TRUE,mountain
,"August 27, 2020",Suite,Off-Season,61,250,Fandak Al Madina,240,FALSE,mountain
,"August 28, 2020",Standard,Off-Season,52,100,Fandak Al Fakhama,241,FALSE,garden
,"August 29, 2020",Deluxe,Off-Season,52,150,Nazl Al Jabal,242,TRUE,city
,"August 30, 2020",Suite,Off-Season,52,250,Fandak Al Madina,243,FALSE,garden
,"August 31, 2020",Standard,Off-Season,31,100,Fandak Al Fakhama,244,TRUE,garden
,"September 1, 2020",Deluxe,Off-Season,31,150,Fandak Al Madina,245,TRUE,garden
,"September 2, 2020",Suite,Off-Season,31,250,Nazl Al Iqtisad,246,FALSE,city
,"September 3, 2020",Standard,Off-Season,46,100,Fandak Al Fakhama,247,TRUE,mountain
,"September 4, 2020",Deluxe,Off-Season,46,150,Fandak Al Madina,248,TRUE,city
,"September 5, 2020",Suite,Off-Season,46,250,Nazl Al Iqtisad,249,TRUE,sea
,"September 6, 2020",Standard,Off-Season,95,100,Nazl Al Iqtisad,250,TRUE,city
,"September 7, 2020",Deluxe,Off-Season,95,150,Fandak Al Fakhama,251,FALSE,city
,"September 8, 2020",Suite,Off-Season,95,250,Muntaaz Al Bahar,252,TRUE,city
,"September 9, 2020",Standard,Off-Season,16,100,Nazl Al Jabal,253,FALSE,city
,"September 10, 2020",Deluxe,Off-Season,16,150,Fandak Al Fakhama,254,TRUE,mountain
,"September 11, 2020",Suite,Off-Season,16,250,Nazl Al Iqtisad,255,TRUE,sea
,"September 12, 2020",Standard,Off-Season,2,100,Nazl Al Iqtisad,256,TRUE,mountain
,"September 13, 2020",Deluxe,Off-Season,2,150,Fandak Al Fakhama,257,TRUE,mountain
,"September 14, 2020",Suite,Off-Season,2,250,Muntaaz Al Bahar,258,FALSE,city
,"September 15, 2020",Standard,Off-Season,23,100,Nazl Al Jabal,259,FALSE,garden
,"September 16, 2020",Deluxe,Off-Season,23,150,Fandak Al Madina,260,TRUE,garden
,"September 17, 2020",Suite,Off-Season,23,250,Fandak Al Fakhama,261,TRUE,mountain
,"September 18, 2020",Standard,Off-Season,63,100,Nazl Al Jabal,262,FALSE,mountain
,"September 19, 2020",Deluxe,Off-Season,63,150,Nazl Al Jabal,263,TRUE,city
,"September 20, 2020",Suite,Off-Season,63,250,Nazl Al Iqtisad,264,TRUE,mountain
,"September 21, 2020",Standard,Off-Season,29,100,Fandak Al Madina,265,TRUE,city
,"September 22, 2020",Deluxe,Off-Season,29,150,Fandak Al Fakhama,266,FALSE,garden
,"September 23, 2020",Suite,Off-Season,29,250,Nazl Al Iqtisad,267,FALSE,garden
,"September 24, 2020",Standard,Off-Season,59,100,Nazl Al Iqtisad,268,FALSE,sea
,"September 25, 2020",Deluxe,Off-Season,59,150,Muntaaz Al Bahar,269,TRUE,garden
,"September 26, 2020",Suite,Off-Season,59,250,Nazl Al Jabal,270,TRUE,mountain
,"September 27, 2020",Standard,Peak Season,52,100,Fandak Al Fakhama,271,FALSE,garden
,"September 28, 2020",Deluxe,Peak Season,52,150,Fandak Al Fakhama,272,FALSE,city
,"September 29, 2020",Suite,Peak Season,52,250,Fandak Al Fakhama,273,FALSE,garden
,"September 30, 2020",Standard,Peak Season,47,100,Nazl Al Iqtisad,274,FALSE,sea
,"October 1, 2020",Deluxe,Peak Season,47,150,Muntaaz Al Bahar,275,TRUE,garden
,"October 2, 2020",Suite,Peak Season,47,250,Fandak Al Madina,276,FALSE,city
,"October 3, 2020",Standard,Peak Season,52,100,Nazl Al Iqtisad,277,TRUE,city
,"October 4, 2020",Deluxe,Peak Season,52,150,Fandak Al Madina,278,FALSE,mountain
,"October 5, 2020",Suite,Peak Season,52,250,Muntaaz Al Bahar,279,TRUE,garden
,"October 6, 2020",Standard,Peak Season,51,100,Nazl Al Jabal,280,FALSE,city
,"October 7, 2020",Deluxe,Peak Season,51,150,Fandak Al Fakhama,281,FALSE,sea
,"October 8, 2020",Suite,Peak Season,51,250,Fandak Al Madina,282,FALSE,mountain
,"October 9, 2020",Standard,Peak Season,34,100,Nazl Al Iqtisad,283,FALSE,sea
,"October 10, 2020",Deluxe,Peak Season,34,150,Fandak Al Madina,284,TRUE,garden
,"October 11, 2020",Suite,Peak Season,34,250,Nazl Al Jabal,285,FALSE,garden
,"October 12, 2020",Standard,Peak Season,63,100,Fandak Al Fakhama,286,TRUE,garden
,"October 13, 2020",Deluxe,Peak Season,63,150,Fandak Al Madina,287,TRUE,mountain
,"October 14, 2020",Suite,Peak Season,63,250,Nazl Al Jabal,288,TRUE,city
,"October 15, 2020",Standard,Peak Season,27,100,Nazl Al Iqtisad,289,TRUE,mountain
,"October 16, 2020",Deluxe,Peak Season,27,150,Muntaaz Al Bahar,290,FALSE,sea
,"October 17, 2020",Suite,Peak Season,27,250,Nazl Al Iqtisad,291,TRUE,mountain
,"October 18, 2020",Standard,Peak Season,83,100,Fandak Al Fakhama,292,TRUE,sea
,"October 19, 2020",Deluxe,Peak Season,83,150,Nazl Al Iqtisad,293,TRUE,mountain
,"October 20, 2020",Suite,Peak Season,83,250,Nazl Al Iqtisad,294,FALSE,city
,"October 21, 2020",Standard,Peak Season,100,100,Nazl Al Iqtisad,295,FALSE,sea
,"October 22, 2020",Deluxe,Peak Season,100,150,Nazl Al Iqtisad,296,FALSE,garden
,"October 23, 2020",Suite,Peak Season,100,250,Fandak Al Fakhama,297,FALSE,garden
,"October 24, 2020",Standard,Peak Season,34,100,Nazl Al Jabal,298,TRUE,mountain
